Gene_pair,GeneID_1,GeneSymbol_1,GeneID_2,GeneSymbol_2,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ARHGAP26--NR3C1,ENSG00000145819,ARHGAP26,ENSG00000145819,NR3C1,122,179,90,26,5,8,45,26,23,18,26,24,3,8,0,18,3,8,8,8,9,2,1,1,661
CD74--CAMK2A,ENSG00000019582,CD74,ENSG00000019582,CAMK2A,58,88,33,90,7,8,21,12,6,19,6,3,19,17,14,3,5,20,11,22,21,11,8,0,502
TET3--AC073046.25,ENSG00000187605,TET3,ENSG00000187605,AC073046.25,42,171,19,46,2,3,28,5,6,11,3,8,9,7,1,8,0,13,10,6,1,2,0,1,402
NADK--SSU72,ENSG00000008130,NADK,ENSG00000008130,SSU72,25,101,69,3,3,1,45,17,16,2,1,22,2,2,1,25,6,4,7,4,3,1,1,0,361
N4BP2L1--HMGB1,ENSG00000139597,N4BP2L1,ENSG00000139597,HMGB1,84,46,25,73,2,13,13,5,6,9,3,5,14,13,6,2,1,8,1,8,9,8,3,0,357
OAZ1--SBNO2,ENSG00000104904,OAZ1,ENSG00000104904,SBNO2,25,34,63,21,2,6,17,14,2,3,7,7,10,10,11,7,8,10,3,8,13,4,1,0,286
NFATC1--CTDP1,ENSG00000131196,NFATC1,ENSG00000131196,CTDP1,27,19,8,44,5,0,1,4,5,12,2,1,8,4,4,3,2,4,2,4,1,3,4,0,167
PIM3--BRD1,ENSG00000198355,PIM3,ENSG00000198355,BRD1,53,31,18,3,6,9,15,7,1,6,0,0,1,3,1,1,1,1,2,3,0,2,0,0,164
KLF10--YWHAZ,ENSG00000155090,KLF10,ENSG00000155090,YWHAZ,46,19,15,6,4,11,10,4,1,2,4,3,5,4,1,5,3,4,0,2,0,1,1,0,151
USP12--HMGB1,ENSG00000152484,USP12,ENSG00000152484,HMGB1,18,6,17,11,0,10,8,7,0,0,3,2,8,7,8,4,0,10,3,0,10,7,4,0,143
HNRNPH1--CLK4,ENSG00000169045,HNRNPH1,ENSG00000169045,CLK4,14,22,10,21,5,5,3,4,2,4,0,2,3,10,6,2,5,4,1,4,5,3,1,0,136
BCR--ABL1,ENSG00000186716,BCR,ENSG00000186716,ABL1,0,0,0,0,0,35,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
MRPL20--SSU72,ENSG00000242485,MRPL20,ENSG00000242485,SSU72,13,11,10,42,2,3,2,0,0,4,1,1,2,5,4,2,0,4,0,4,5,3,0,0,118
UVSSA--MAEA,ENSG00000163945,UVSSA,ENSG00000163945,MAEA,11,30,19,4,3,2,5,9,5,0,2,5,1,3,1,7,0,2,0,1,3,0,0,1,114
SS18L1--PSMA7,ENSG00000184402,SS18L1,ENSG00000184402,PSMA7,28,38,8,0,4,0,8,2,5,3,2,3,1,0,0,3,2,0,3,0,1,0,0,0,111
FBXL5--CPEB2,ENSG00000118564,FBXL5,ENSG00000118564,CPEB2,6,35,16,0,1,0,11,3,8,1,0,8,0,0,0,8,0,2,5,0,0,0,0,0,104
SBNO1--SETD8,ENSG00000139697,SBNO1,ENSG00000139697,SETD8,29,31,15,0,0,2,7,6,1,1,0,0,2,0,1,1,2,0,4,0,0,2,0,0,104
YWHAZ--ZNF706,ENSG00000164924,YWHAZ,ENSG00000164924,ZNF706,20,20,4,9,12,0,9,3,3,5,3,3,1,1,0,3,3,1,1,0,1,0,0,0,102
MARCH8--NCOA4,,MARCH8,,NCOA4,11,53,19,1,0,0,3,1,2,0,1,0,0,0,4,0,1,2,0,1,1,0,1,0,101
PTBP1--SBNO2,ENSG00000011304,PTBP1,ENSG00000011304,SBNO2,18,12,12,12,1,3,3,3,0,6,1,1,5,3,9,1,1,2,0,5,1,1,0,0,100
MBP--CTDP1,ENSG00000197971,MBP,ENSG00000197971,CTDP1,30,17,9,1,0,5,2,1,2,5,2,4,0,3,0,5,0,2,2,8,1,0,0,0,99
CXCR4--BCL2L11,ENSG00000121966,CXCR4,ENSG00000121966,BCL2L11,5,7,4,11,32,2,3,2,1,0,0,1,6,1,0,0,3,5,0,1,2,2,0,1,89
LRRC6--TMEM71,ENSG00000129295,LRRC6,ENSG00000129295,TMEM71,11,8,22,2,1,1,9,1,9,4,2,5,1,0,1,7,0,0,0,2,0,0,0,0,86
EIF4A1--CHD3,ENSG00000161960,EIF4A1,ENSG00000161960,CHD3,16,8,10,3,0,8,6,1,1,2,7,0,0,4,4,1,5,0,1,6,0,0,1,0,84
HMGB2--DDX5,ENSG00000164104,HMGB2,ENSG00000164104,DDX5,21,22,12,0,0,2,4,4,6,1,1,1,1,1,2,3,0,0,1,0,1,1,0,0,84
NADK--GNB1,ENSG00000008130,NADK,ENSG00000008130,GNB1,9,26,19,0,0,0,9,1,4,2,0,5,0,0,0,3,0,0,0,2,1,0,1,0,82
JARID2--HIVEP1,ENSG00000008083,JARID2,ENSG00000008083,HIVEP1,22,17,13,1,1,3,6,1,1,2,0,2,0,0,0,3,1,1,4,0,0,2,0,0,80
ST3GAL1--AGO2,ENSG00000008513,ST3GAL1,ENSG00000008513,AGO2,21,21,3,2,2,8,6,2,2,4,1,3,1,1,0,1,0,0,1,1,0,0,0,0,80
CSNK1D--METRNL,ENSG00000141551,CSNK1D,ENSG00000141551,METRNL,12,10,14,5,0,6,3,2,4,2,0,5,4,0,1,1,2,0,2,3,0,1,1,1,79
NINJ1--NFIL3,ENSG00000131669,NINJ1,ENSG00000131669,NFIL3,3,15,26,0,1,1,5,6,2,0,0,7,1,1,0,9,0,0,1,1,0,0,0,0,79
TTC33--PRKAA1,ENSG00000113638,TTC33,ENSG00000113638,PRKAA1,7,20,6,8,1,6,2,4,2,4,2,3,2,0,2,2,1,1,2,1,0,0,0,0,76
ZBTB17--SPEN,ENSG00000116809,ZBTB17,ENSG00000116809,SPEN,17,8,5,7,5,0,4,1,1,3,3,0,6,6,0,1,2,1,1,3,1,0,1,0,76
B2M--FAM214A,ENSG00000166710,B2M,ENSG00000166710,FAM214A,1,7,2,11,29,1,4,3,0,2,2,2,0,2,1,0,1,1,1,0,3,2,0,0,75
ARID3A--SBNO2,ENSG00000116017,ARID3A,ENSG00000116017,SBNO2,6,16,16,3,5,0,10,2,2,3,0,2,1,0,0,4,0,1,1,1,0,0,1,0,74
EDF1--NOTCH1,ENSG00000107223,EDF1,ENSG00000107223,NOTCH1,11,12,6,6,3,2,4,3,1,3,6,2,2,4,1,1,0,3,1,3,0,0,0,0,74
MIR4435-1HG--BCL2L11,,MIR4435-1HG,,BCL2L11,12,34,7,0,7,0,2,2,1,0,1,1,0,0,0,0,0,0,5,0,0,1,0,0,73
LSP1--SF1,ENSG00000130592,LSP1,ENSG00000130592,SF1,2,22,11,0,2,0,4,3,9,3,0,4,2,0,0,5,0,0,1,2,0,0,0,0,70
OAZ1--KLF16,ENSG00000104904,OAZ1,ENSG00000104904,KLF16,11,20,4,2,2,4,5,1,1,5,0,3,3,0,2,1,1,1,1,1,1,0,0,0,69
B2M--GNAS,ENSG00000166710,B2M,ENSG00000166710,GNAS,8,7,3,9,5,3,0,3,0,1,1,2,7,0,3,0,1,7,1,2,3,1,0,0,67
ZC3H3--PLEC,ENSG00000014164,ZC3H3,ENSG00000014164,PLEC,20,9,6,0,2,0,15,1,1,2,0,2,0,1,1,1,0,0,1,2,0,0,0,0,64
EIF4A1--PTMA,ENSG00000161960,EIF4A1,ENSG00000161960,PTMA,15,1,0,7,0,19,1,0,0,2,1,0,4,5,0,0,2,4,0,0,0,2,0,0,63
GAS6-AS1--TFDP1,ENSG00000233695,GAS6-AS1,ENSG00000233695,TFDP1,22,14,3,2,0,0,1,1,2,0,2,0,3,3,1,2,3,1,2,0,0,0,1,0,63
ZNF263--CREBBP,ENSG00000006194,ZNF263,ENSG00000006194,CREBBP,7,5,11,13,1,3,0,2,1,1,1,0,2,1,4,1,2,3,0,1,0,2,0,1,62
C10orf68--CCDC7,,C10orf68,,CCDC7,15,7,6,1,6,5,3,0,2,1,1,2,1,1,1,4,0,0,3,0,1,1,0,0,61
EDF1--RABL6,ENSG00000107223,EDF1,ENSG00000107223,RABL6,11,5,6,8,2,1,2,0,1,2,3,1,2,3,3,1,2,2,1,2,1,1,0,0,60
TTYH3--LFNG,ENSG00000136295,TTYH3,ENSG00000136295,LFNG,13,18,7,4,1,0,8,3,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,60
PWWP2B--INPP5A,ENSG00000171813,PWWP2B,ENSG00000171813,INPP5A,3,4,4,17,0,1,1,1,1,1,1,0,8,7,3,0,1,3,0,0,0,1,2,0,59
TUBGCP6--BRD1,ENSG00000128159,TUBGCP6,ENSG00000128159,BRD1,12,6,3,3,1,7,0,1,2,7,3,1,0,4,1,0,2,1,0,3,1,1,0,0,59
ATXN1--PTP4A1,ENSG00000124788,ATXN1,ENSG00000124788,PTP4A1,8,17,7,3,4,1,2,3,1,3,0,1,2,1,1,0,1,0,0,2,0,1,0,0,58
CTD-2012K14.6--CTCF,,CTD-2012K14.6,,CTCF,26,4,0,3,0,8,2,0,0,0,5,1,0,0,1,0,3,0,0,1,2,1,1,0,58
PTBP1--RNF126,ENSG00000011304,PTBP1,ENSG00000011304,RNF126,5,10,1,13,6,0,2,1,0,6,0,0,2,0,1,1,1,2,1,2,1,0,1,0,56
SS18L1--TAF4,ENSG00000184402,SS18L1,ENSG00000184402,TAF4,17,12,6,1,2,2,1,5,1,4,0,1,0,0,1,2,0,0,0,1,0,0,0,0,56
DHX9--GLUL,ENSG00000135829,DHX9,ENSG00000135829,GLUL,17,22,2,0,0,0,4,1,3,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,55
SDF4--SSU72,ENSG00000078808,SDF4,ENSG00000078808,SSU72,8,10,11,5,4,3,2,1,0,1,1,0,0,1,2,1,1,0,1,2,1,0,0,0,55
ST3GAL1--AZIN1,ENSG00000008513,ST3GAL1,ENSG00000008513,AZIN1,9,25,2,0,1,0,4,2,1,1,0,2,0,0,0,2,0,2,1,2,0,0,0,0,54
LRFN1--CTC-246B18.8,ENSG00000128011,LRFN1,ENSG00000128011,CTC-246B18.8,6,6,12,4,0,0,4,1,2,4,2,5,0,1,0,3,0,0,1,0,0,2,0,0,53
B2M--CXCR4,ENSG00000166710,B2M,ENSG00000166710,CXCR4,5,8,8,6,3,2,0,2,1,0,2,2,1,2,0,0,2,1,2,1,1,1,2,0,52
CXCR4--IVNS1ABP,ENSG00000121966,CXCR4,ENSG00000121966,IVNS1ABP,3,16,7,0,0,0,1,2,5,1,0,3,1,1,0,2,1,2,4,0,0,0,0,3,52
B2M--DDX5,ENSG00000166710,B2M,ENSG00000166710,DDX5,14,12,6,6,3,1,1,1,2,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,51
CTDP1--NFATC1,ENSG00000060069,CTDP1,ENSG00000060069,NFATC1,9,5,7,5,2,2,1,3,0,4,0,1,1,1,1,1,1,4,0,0,1,0,1,1,51
MAEA--GAK,ENSG00000090316,MAEA,ENSG00000090316,GAK,4,18,10,0,1,0,3,3,0,3,1,2,1,1,0,0,2,1,0,0,0,1,0,0,51
ANK1--KAT6A,ENSG00000029534,ANK1,ENSG00000029534,KAT6A,1,34,5,0,0,0,1,2,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,50
JARID2--PTP4A1,ENSG00000008083,JARID2,ENSG00000008083,PTP4A1,21,5,7,0,1,6,1,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,50
YWHAZ--KLF10,ENSG00000164924,YWHAZ,ENSG00000164924,KLF10,8,15,6,0,2,1,4,0,4,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0,49
ZEB2--CXCR4,ENSG00000169554,ZEB2,ENSG00000169554,CXCR4,6,18,1,1,0,5,2,2,2,2,1,1,1,0,2,1,2,0,0,1,0,1,0,0,49
ZC3H3--AGO2,ENSG00000014164,ZC3H3,ENSG00000014164,AGO2,7,9,6,2,2,4,3,5,0,0,1,3,0,1,1,2,0,1,0,1,0,0,0,0,48
HNRNPK--TLE4,ENSG00000165119,HNRNPK,ENSG00000165119,TLE4,9,13,7,1,1,0,2,0,5,1,1,2,0,0,0,1,0,0,2,0,2,0,0,0,47
TRABD--BRD1,ENSG00000170638,TRABD,ENSG00000170638,BRD1,16,11,3,0,0,4,2,1,0,3,0,3,0,0,0,1,1,1,0,1,0,0,0,0,47
CBFB--MYH11,ENSG00000067955,CBFB,ENSG00000067955,MYH11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
RP11-711M9.1--AC073046.25,,RP11-711M9.1,,AC073046.25,2,20,3,7,0,0,4,1,1,3,0,0,1,1,0,0,0,0,2,0,0,1,0,0,46
LRCH4--LPAR2,ENSG00000077454,LRCH4,ENSG00000077454,LPAR2,3,7,5,12,0,2,1,0,1,2,3,0,1,2,2,2,0,0,0,2,0,0,0,0,45
UVSSA--GAK,ENSG00000163945,UVSSA,ENSG00000163945,GAK,1,14,7,1,2,1,3,1,3,2,0,0,2,2,0,2,0,0,2,0,1,0,0,0,44
BSG--RBM38,ENSG00000172270,BSG,ENSG00000172270,RBM38,6,19,6,0,0,0,2,3,0,1,0,1,0,0,0,0,0,1,2,1,1,0,0,0,43
MOB3A--DOT1L,ENSG00000172081,MOB3A,ENSG00000172081,DOT1L,2,11,12,1,0,4,3,4,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,43
PIM3--SBF1,ENSG00000198355,PIM3,ENSG00000198355,SBF1,0,10,3,5,8,4,1,1,2,1,0,0,1,2,0,0,0,0,1,3,0,0,0,1,43
INPP5A--PWWP2B,ENSG00000068383,INPP5A,ENSG00000068383,PWWP2B,2,3,4,5,2,2,3,0,1,1,0,0,6,4,2,0,1,2,0,0,0,0,3,0,41
IRF2--ACSL1,ENSG00000168310,IRF2,ENSG00000168310,ACSL1,4,13,6,0,0,0,2,0,0,0,1,8,0,0,0,5,1,0,0,1,0,0,0,0,41
HOOK3--KAT6A,ENSG00000168172,HOOK3,ENSG00000168172,KAT6A,11,3,3,1,0,3,1,2,0,0,0,1,4,1,1,0,3,2,0,0,2,0,2,0,40
MAEA--CTBP1,ENSG00000090316,MAEA,ENSG00000090316,CTBP1,4,13,4,2,1,0,2,1,2,3,2,3,0,0,0,0,1,1,0,1,0,0,0,0,40
MATR3--FAM13B,ENSG00000280987,MATR3,ENSG00000280987,FAM13B,6,13,4,8,2,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,40
YPEL5--CXCR4,ENSG00000119801,YPEL5,ENSG00000119801,CXCR4,3,9,0,8,0,3,0,4,1,5,0,0,0,1,0,0,0,2,1,0,0,3,0,0,40
CFL1--SF1,ENSG00000172757,CFL1,ENSG00000172757,SF1,6,10,7,0,1,0,1,2,2,1,0,3,0,0,0,3,0,2,1,0,0,0,0,0,39
DHX9--NPL,ENSG00000135829,DHX9,ENSG00000135829,NPL,6,14,9,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,1,2,0,0,1,0,39
ELL--SUGP2,ENSG00000105656,ELL,ENSG00000105656,SUGP2,6,15,4,0,4,1,3,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,39
SS18L1--RBM38,ENSG00000184402,SS18L1,ENSG00000184402,RBM38,3,4,11,0,0,5,1,8,0,0,1,1,0,0,1,2,1,0,0,1,0,0,0,0,39
ZEB1--HNRNPF,ENSG00000148516,ZEB1,ENSG00000148516,HNRNPF,2,11,1,13,1,0,1,2,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39
BSG--STK11,ENSG00000172270,BSG,ENSG00000172270,STK11,2,17,10,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,37
PQLC1--NFATC1,,PQLC1,,NFATC1,4,7,7,2,0,2,1,0,0,2,0,2,4,2,0,1,0,0,0,0,0,2,1,0,37
PRRT3-AS1--CRELD1,ENSG00000230082,PRRT3-AS1,ENSG00000230082,CRELD1,14,4,2,0,4,4,4,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,37
ZEB1--WAC,ENSG00000148516,ZEB1,ENSG00000148516,WAC,1,5,6,7,0,1,1,5,0,1,0,4,1,1,0,1,0,3,0,0,0,0,0,0,37
B3GNTL1--METRNL,ENSG00000175711,B3GNTL1,ENSG00000175711,METRNL,13,12,1,0,0,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,36
CTBP1--MAEA,ENSG00000159692,CTBP1,ENSG00000159692,MAEA,4,6,5,2,2,0,3,5,1,1,2,0,1,0,0,0,1,0,0,1,2,0,0,0,36
UBE2J2--SSU72,ENSG00000160087,UBE2J2,ENSG00000160087,SSU72,6,11,2,6,0,0,0,2,0,1,0,0,2,1,0,0,0,1,0,1,2,1,0,0,36
ABI1--WAC,ENSG00000136754,ABI1,ENSG00000136754,WAC,8,3,2,5,0,1,1,2,0,0,0,0,1,1,2,0,1,2,1,2,0,3,0,0,35
FCAR--LENG8,ENSG00000186431,FCAR,ENSG00000186431,LENG8,5,10,6,0,0,0,1,0,5,0,0,3,0,0,0,1,0,1,3,0,0,0,0,0,35
OAZ1--RNF126,ENSG00000104904,OAZ1,ENSG00000104904,RNF126,5,10,0,10,1,0,1,0,1,1,1,0,1,0,1,0,2,0,0,1,0,0,0,0,35
TPTE2--MRPS31P2,ENSG00000132958,TPTE2,ENSG00000132958,MRPS31P2,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35
TTYH3--MAD1L1,ENSG00000136295,TTYH3,ENSG00000136295,MAD1L1,4,1,1,1,1,10,2,2,1,0,2,0,1,5,1,0,1,0,0,0,0,1,1,0,35
ARID4B--IRF2BP2,ENSG00000054267,ARID4B,ENSG00000054267,IRF2BP2,19,5,1,0,0,0,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34
FAM193A--RNF4,ENSG00000125386,FAM193A,ENSG00000125386,RNF4,9,7,1,0,3,6,0,0,0,0,1,0,0,0,1,1,0,0,2,0,2,1,0,0,34
HNRNPK--NFIL3,ENSG00000165119,HNRNPK,ENSG00000165119,NFIL3,6,2,7,0,2,3,0,2,0,0,0,4,0,0,0,3,0,1,0,3,1,0,0,0,34
PTBP1--BSG,ENSG00000011304,PTBP1,ENSG00000011304,BSG,3,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,34
RARA--PML,ENSG00000131759,RARA,ENSG00000131759,PML,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
RBM34--IRF2BP2,ENSG00000188739,RBM34,ENSG00000188739,IRF2BP2,21,5,0,0,0,0,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,34
SEMA6A--FEM1C,ENSG00000092421,SEMA6A,ENSG00000092421,FEM1C,0,1,1,0,0,22,3,0,1,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,34
AL132709.5--MEG8,,AL132709.5,,MEG8,28,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,33
ANP32A--PKM,ENSG00000140350,ANP32A,ENSG00000140350,PKM,1,9,2,3,0,0,3,1,0,0,1,0,0,2,1,2,2,2,0,1,1,2,0,0,33
TMEM140--BPGM,ENSG00000146859,TMEM140,ENSG00000146859,BPGM,1,18,7,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,33
ELL--KLF2,ENSG00000105656,ELL,ENSG00000105656,KLF2,0,3,10,1,5,1,1,0,3,1,0,1,0,0,1,3,1,0,0,0,0,1,0,0,32
B2M--IVNS1ABP,ENSG00000166710,B2M,ENSG00000166710,IVNS1ABP,0,9,8,0,0,1,1,3,5,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,31
MOB3A--SBNO2,ENSG00000172081,MOB3A,ENSG00000172081,SBNO2,2,4,14,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,2,0,1,0,0,31
PIM3--RNF166,ENSG00000198355,PIM3,ENSG00000198355,RNF166,1,1,14,0,0,1,1,4,1,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,31
PPP6R2--SBF1,ENSG00000100239,PPP6R2,ENSG00000100239,SBF1,6,2,0,6,2,1,0,1,0,3,4,0,1,0,0,0,2,2,0,1,0,0,0,0,31
GRAMD4--CERK,ENSG00000075240,GRAMD4,ENSG00000075240,CERK,10,6,2,0,0,4,0,1,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,30
LSP1--RNF166,ENSG00000130592,LSP1,ENSG00000130592,RNF166,3,9,3,0,0,0,1,2,4,0,0,2,1,0,0,4,0,0,1,0,0,0,0,0,30
RXRA--BRD3,ENSG00000186350,RXRA,ENSG00000186350,BRD3,4,5,6,2,1,0,2,3,0,0,0,2,0,0,0,0,0,0,1,2,1,1,0,0,30
GRAMD4--BRD1,ENSG00000075240,GRAMD4,ENSG00000075240,BRD1,9,2,1,0,0,13,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29
PPP6R2--SELO,ENSG00000100239,PPP6R2,ENSG00000100239,SELO,3,5,2,4,0,0,1,0,0,1,0,0,2,1,1,0,1,2,1,1,2,2,0,0,29
RUNX1T1--RUNX1,ENSG00000079102,RUNX1T1,ENSG00000079102,RUNX1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
B2M--UBC,ENSG00000166710,B2M,ENSG00000166710,UBC,8,3,7,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28
RGPD5--BCL2L11,ENSG00000015568,RGPD5,ENSG00000015568,BCL2L11,0,0,0,1,23,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,28
CHST11--UBC,ENSG00000171310,CHST11,ENSG00000171310,UBC,9,6,1,1,0,1,3,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,27
HMGB2--ING2,ENSG00000164104,HMGB2,ENSG00000164104,ING2,4,8,2,0,0,1,3,1,0,0,0,2,0,0,0,3,1,0,1,0,1,0,0,0,27
AKAP8--KLF2,ENSG00000105127,AKAP8,ENSG00000105127,KLF2,3,1,3,1,5,2,0,0,0,2,0,0,1,2,1,0,0,0,0,0,4,1,0,0,26
C22orf24--EIF4ENIF1,ENSG00000128254,C22orf24,ENSG00000128254,EIF4ENIF1,3,0,1,4,0,2,0,0,0,0,7,0,0,4,0,0,2,0,0,0,1,1,1,0,26
GSE1--SLC7A5,ENSG00000131149,GSE1,ENSG00000131149,SLC7A5,3,11,1,0,0,3,0,1,0,0,0,1,0,0,1,2,0,0,1,1,1,0,0,0,26
RP11-419K12.1--LINC00977,,RP11-419K12.1,,LINC00977,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
SLC7A5--ZFPM1,ENSG00000103257,SLC7A5,ENSG00000103257,ZFPM1,1,8,4,0,4,0,1,0,0,3,0,0,0,2,0,0,0,1,1,1,0,0,0,0,26
ZFP36--KLF2,ENSG00000128016,ZFP36,ENSG00000128016,KLF2,3,1,9,0,8,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,26
ZFPM1--SLC7A5,ENSG00000179588,ZFPM1,ENSG00000179588,SLC7A5,3,2,1,2,0,2,0,2,0,4,0,0,2,1,1,0,0,4,0,0,0,0,1,1,26
B2M--HMGB1,ENSG00000166710,B2M,ENSG00000166710,HMGB1,7,4,4,3,0,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,25
CDKN1A--PTP4A1,ENSG00000124762,CDKN1A,ENSG00000124762,PTP4A1,8,2,0,0,7,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,25
GAS6-AS1--RASA3,ENSG00000233695,GAS6-AS1,ENSG00000233695,RASA3,8,1,0,6,0,0,1,0,0,2,0,0,3,1,0,0,0,0,1,1,0,1,0,0,25
KMT2A--MLLT3,ENSG00000118058,KMT2A,ENSG00000118058,MLLT3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
MOB3A--AP3D1,ENSG00000172081,MOB3A,ENSG00000172081,AP3D1,4,2,0,1,2,4,0,1,0,1,0,1,2,1,3,0,0,1,0,0,1,0,1,0,25
OAZ1--SSU72,ENSG00000104904,OAZ1,ENSG00000104904,SSU72,2,0,2,12,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,1,0,25
PER1--EIF5A,ENSG00000179094,PER1,ENSG00000179094,EIF5A,0,3,0,10,1,0,1,0,0,6,0,0,1,0,1,1,0,0,0,0,0,1,0,0,25
SAMSN1--NRIP1,ENSG00000155307,SAMSN1,ENSG00000155307,NRIP1,10,4,2,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BANP--SLC7A5,ENSG00000172530,BANP,ENSG00000172530,SLC7A5,6,2,2,0,2,2,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,2,0,24
DENND3--AGO2,ENSG00000105339,DENND3,ENSG00000105339,AGO2,9,1,1,0,1,3,1,0,1,0,0,0,2,1,0,3,0,0,0,0,1,0,0,0,24
HNRNPK--AGTPBP1,ENSG00000165119,HNRNPK,ENSG00000165119,AGTPBP1,0,4,7,3,0,0,2,0,1,0,0,0,1,1,0,3,0,0,1,0,0,1,0,0,24
MAEA--CCNG2,ENSG00000090316,MAEA,ENSG00000090316,CCNG2,2,8,6,0,0,0,2,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,24
METRNL--CSNK1D,ENSG00000176845,METRNL,ENSG00000176845,CSNK1D,0,6,3,2,1,1,1,1,1,1,1,0,1,2,0,2,0,0,0,1,0,0,0,0,24
MTAP--CDKN2B-AS1,ENSG00000099810,MTAP,ENSG00000099810,CDKN2B-AS1,1,0,0,0,1,10,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,24
SEMA4D--NFIL3,ENSG00000187764,SEMA4D,ENSG00000187764,NFIL3,4,5,5,0,0,0,2,0,2,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,24
ALCAM--CBLB,ENSG00000170017,ALCAM,ENSG00000170017,CBLB,0,7,1,0,1,1,5,0,1,1,0,0,0,0,1,1,3,0,0,0,1,0,0,0,23
CXCR4--FYTTD1,ENSG00000121966,CXCR4,ENSG00000121966,FYTTD1,1,4,0,3,4,2,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,0,23
DGKZ--SF1,ENSG00000149091,DGKZ,ENSG00000149091,SF1,1,8,2,0,0,0,6,0,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,23
LSP1--CD81,ENSG00000130592,LSP1,ENSG00000130592,CD81,6,6,0,5,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23
MAML3--SETD7,ENSG00000196782,MAML3,ENSG00000196782,SETD7,4,0,0,0,0,15,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,23
NRIP1--LINC00478,ENSG00000180530,NRIP1,ENSG00000180530,LINC00478,2,12,2,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,23
YWHAE--CLUH,ENSG00000108953,YWHAE,ENSG00000108953,CLUH,4,2,0,2,6,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,3,0,0,23
