Gene_pair,GeneID_1,GeneSymbol_1,GeneID_2,GeneSymbol_2,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ELANE--CNN2,ENSG00000197561,ELANE,ENSG00000197561,CNN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ELANE--TMEM259,ENSG00000197561,ELANE,ENSG00000197561,TMEM259,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELAVL1--INSR,ENSG00000066044,ELAVL1,ENSG00000066044,INSR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELAVL1--MUC16,ENSG00000066044,ELAVL1,ENSG00000066044,MUC16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF1--AKAP11,ENSG00000120690,ELF1,ENSG00000120690,AKAP11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF1--EXOSC8,ENSG00000120690,ELF1,ENSG00000120690,EXOSC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ELF1--GPR183,ENSG00000120690,ELF1,ENSG00000120690,GPR183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF1--HIST1H2BG,ENSG00000120690,ELF1,ENSG00000120690,HIST1H2BG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF1--MYCBP2,ENSG00000120690,ELF1,ENSG00000120690,MYCBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ELF1--SRSF11,ENSG00000120690,ELF1,ENSG00000120690,SRSF11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF2--CNOT6L,ENSG00000109381,ELF2,ENSG00000109381,CNOT6L,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF2--DIS3,ENSG00000109381,ELF2,ENSG00000109381,DIS3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF2--PHF17,ENSG00000109381,ELF2,ENSG00000109381,PHF17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF2--RP11-371F15.3,ENSG00000109381,ELF2,ENSG00000109381,RP11-371F15.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF2--SETD7,ENSG00000109381,ELF2,ENSG00000109381,SETD7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF2--SNX25,ENSG00000109381,ELF2,ENSG00000109381,SNX25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELF4--RP4-537K23.4,ENSG00000102034,ELF4,ENSG00000102034,RP4-537K23.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELK3--ATP2B1,ENSG00000111145,ELK3,ENSG00000111145,ATP2B1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELK3--DUSP5,ENSG00000111145,ELK3,ENSG00000111145,DUSP5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELK3--HNRNPU,ENSG00000111145,ELK3,ENSG00000111145,HNRNPU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELK3--KAT2A,ENSG00000111145,ELK3,ENSG00000111145,KAT2A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELK3--UBP1,ENSG00000111145,ELK3,ENSG00000111145,UBP1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--BBC3,ENSG00000105656,ELL,ENSG00000105656,BBC3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--BUB1B,ENSG00000105656,ELL,ENSG00000105656,BUB1B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--CLPTM1L,ENSG00000105656,ELL,ENSG00000105656,CLPTM1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ELL--COPE,ENSG00000105656,ELL,ENSG00000105656,COPE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--CRLF1,ENSG00000105656,ELL,ENSG00000105656,CRLF1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--DNM2,ENSG00000105656,ELL,ENSG00000105656,DNM2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--KMT2A,ENSG00000105656,ELL,ENSG00000105656,KMT2A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--PLEC,ENSG00000105656,ELL,ENSG00000105656,PLEC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--REXO1,ENSG00000105656,ELL,ENSG00000105656,REXO1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--SDC1,ENSG00000105656,ELL,ENSG00000105656,SDC1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--SH3GL1,ENSG00000105656,ELL,ENSG00000105656,SH3GL1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--SIRT7,ENSG00000105656,ELL,ENSG00000105656,SIRT7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--SLBP,ENSG00000105656,ELL,ENSG00000105656,SLBP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELL--SUMO3,ENSG00000105656,ELL,ENSG00000105656,SUMO3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELMO1--BANK1,ENSG00000155849,ELMO1,ENSG00000155849,BANK1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELMO1--DPY19L1P1,ENSG00000155849,ELMO1,ENSG00000155849,DPY19L1P1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELMO1--LONRF1,ENSG00000155849,ELMO1,ENSG00000155849,LONRF1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELMSAN1--AL138479.3,ENSG00000156030,ELMSAN1,ENSG00000156030,AL138479.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELOF1--FCHO1,ENSG00000130165,ELOF1,ENSG00000130165,FCHO1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELOVL6--CAPRIN2,ENSG00000170522,ELOVL6,ENSG00000170522,CAPRIN2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELOVL6--CASP6,ENSG00000170522,ELOVL6,ENSG00000170522,CASP6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELOVL6--FHDC1,ENSG00000170522,ELOVL6,ENSG00000170522,FHDC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELP2--ZNF24,ENSG00000134759,ELP2,ENSG00000134759,ZNF24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
